library,language,dataset_name,dataset_size,query,mechanism,epsilon,mae,avg_time_ms,runs,lower,upper
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,0.1,8.4666666667,0.6004660333,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,0.5,2.2333333333,0.6391577,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,1.0,1.0,0.6666748667,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,1.5,0.7333333333,0.6754732333,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,2.0,0.2333333333,0.6873200667,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,2.5,0.3666666667,0.6893023,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Count,Laplace,3.0,0.2,0.6788926667,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,0.1,1268.2358971242,0.1106783,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,0.5,275.3985846366,0.1112275,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,1.0,87.3674758103,0.1075145,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,1.5,60.5302657451,0.1094380333,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,2.0,72.2537252355,0.1058001667,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,2.5,45.9998742045,0.1138264667,30,-100.0,100.0
GoogleDP,C++,Small (10k rows),10000,Sum,Laplace,3.0,30.7322188298,0.1149288,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,0.1,9.6333333333,6.6956376333,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,0.5,1.9,6.7098230667,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,1.0,0.8333333333,6.8195412333,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,1.5,0.4,6.7273205667,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,2.0,0.4333333333,6.7259879333,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,2.5,0.2333333333,6.7242250333,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Count,Laplace,3.0,0.2,6.7518311,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Sum,Laplace,0.1,1212.2375800257,0.8778353333,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Sum,Laplace,0.5,157.6384554366,0.9201027,30,-100.0,100.0
GoogleDP,C++,Medium (100k rows),100000,Sum,Laplace,1.0,84.2873159264,0.9188292333,30,-100.0,100.0
